ID,Nome,Preço,Quantidade em Estoque
324,Produto 324,273.36,60
325,Produto 325,181.83,46
326,Produto 326,711.65,79
327,Produto 327,295.85,83
328,Produto 328,238.48,85
329,Produto 329,608.98,76
330,Produto 330,201.12,22
331,Produto 331,18.4,97
332,Produto 332,511.35,68
333,Produto 333,396.0,70
334,Produto 334,887.57,32
335,Produto 335,484.65,25
336,Produto 336,251.72,90
337,Produto 337,150.78,7
338,Produto 338,411.05,89
339,Produto 339,364.84,19
340,Produto 340,484.66,34
341,Produto 341,72.65,46
342,Produto 342,226.23,48
343,Produto 343,938.91,15
344,Produto 344,342.74,2
345,Produto 345,398.69,67
346,Produto 346,963.42,11
347,Produto 347,270.16,12
348,Produto 348,261.36,48
349,Produto 349,650.02,4
350,Produto 350,191.73,20
351,Produto 351,502.12,48
352,Produto 352,484.85,97
353,Produto 353,808.57,32
354,Produto 354,356.61,32
355,Produto 355,775.55,23
356,Produto 356,458.83,51
357,Produto 357,185.03,45
358,Produto 358,50.39,56
359,Produto 359,289.25,48
360,Produto 360,151.72,84
361,Produto 361,665.62,93
362,Produto 362,80.8,35
363,Produto 363,322.09,8
364,Produto 364,263.81,17
365,Produto 365,187.13,80
366,Produto 366,401.22,4
367,Produto 367,100.11,28
368,Produto 368,560.9,99
369,Produto 369,562.87,52
370,Produto 370,769.08,80
371,Produto 371,273.97,15
372,Produto 372,807.0,46
373,Produto 373,917.43,81
374,Produto 374,328.86,70
375,Produto 375,490.59,76
376,Produto 376,122.02,6
377,Produto 377,323.1,22
378,Produto 378,727.84,30
379,Produto 379,112.27,46
380,Produto 380,901.34,49
381,Produto 381,619.18,40
382,Produto 382,790.32,30
383,Produto 383,476.38,82
384,Produto 384,542.01,46
385,Produto 385,112.65,92
386,Produto 386,692.25,62
387,Produto 387,414.02,59
388,Produto 388,466.18,77
389,Produto 389,39.94,43
390,Produto 390,958.16,52
391,Produto 391,814.45,30
392,Produto 392,378.35,13
393,Produto 393,386.03,38
394,Produto 394,604.58,8
395,Produto 395,776.63,86
396,Produto 396,845.92,18
397,Produto 397,194.09,15
398,Produto 398,460.14,34
399,Produto 399,391.48,3
400,Produto 400,583.8,79
401,Produto 401,353.85,47
402,Produto 402,862.46,8
403,Produto 403,745.54,5
404,Produto 404,680.11,96
405,Produto 405,576.35,17
406,Produto 406,170.8,9
407,Produto 407,17.4,8
408,Produto 408,989.53,48
409,Produto 409,1.87,43
410,Produto 410,336.79,63
411,Produto 411,654.77,88
412,Produto 412,999.86,98
413,Produto 413,679.79,17
414,Produto 414,264.93,1
415,Produto 415,368.7,54
416,Produto 416,870.91,95
417,Produto 417,549.44,15
418,Produto 418,867.07,54
419,Produto 419,351.23,69
420,Produto 420,38.2,70
421,Produto 421,409.79,67
422,Produto 422,492.44,44
423,Produto 423,467.84,53
424,Produto 424,77.91,66
425,Produto 425,983.5,23
426,Produto 426,203.57,36
427,Produto 427,116.12,77
428,Produto 428,25.92,65
429,Produto 429,504.93,85
430,Produto 430,507.62,18
431,Produto 431,182.51,7
432,Produto 432,238.25,21
433,Produto 433,381.61,97
434,Produto 434,343.69,70
435,Produto 435,18.16,3
436,Produto 436,459.08,25
437,Produto 437,696.54,36
438,Produto 438,198.79,21
439,Produto 439,383.55,30
440,Produto 440,800.66,30
441,Produto 441,230.15,39
442,Produto 442,44.58,82
443,Produto 443,728.11,17
444,Produto 444,830.76,71
445,Produto 445,703.44,19
446,Produto 446,37.97,48
447,Produto 447,51.07,19
448,Produto 448,75.48,87
449,Produto 449,384.56,45
450,Produto 450,337.3,42
451,Produto 451,766.49,20
452,Produto 452,264.76,29
453,Produto 453,535.87,44
454,Produto 454,776.08,67
455,Produto 455,23.14,99
456,Produto 456,68.66,46
457,Produto 457,309.84,27
458,Produto 458,882.28,16
459,Produto 459,382.95,25
460,Produto 460,30.29,83
461,Produto 461,122.58,73
462,Produto 462,466.73,59
463,Produto 463,266.97,50
464,Produto 464,467.61,97
465,Produto 465,668.6,51
466,Produto 466,875.65,95
467,Produto 467,509.49,100
468,Produto 468,100.57,22
469,Produto 469,204.82,1
470,Produto 470,19.97,62
471,Produto 471,455.57,75
472,Produto 472,191.09,41
473,Produto 473,424.73,9
474,Produto 474,912.47,23
475,Produto 475,740.22,37
476,Produto 476,154.76,36
477,Produto 477,37.36,73
478,Produto 478,401.94,75
479,Produto 479,239.57,26
480,Produto 480,982.49,42
481,Produto 481,326.93,68
482,Produto 482,90.05,36
483,Produto 483,55.5,51
484,Produto 484,52.54,14
485,Produto 485,440.48,49
486,Produto 486,729.81,42
487,Produto 487,926.03,85
488,Produto 488,216.86,35
489,Produto 489,500.95,57
490,Produto 490,88.5,63
491,Produto 491,292.31,63
492,Produto 492,887.45,16
493,Produto 493,656.89,48
494,Produto 494,366.76,34
495,Produto 495,690.86,35
496,Produto 496,741.89,70
497,Produto 497,339.0,56
498,Produto 498,820.2,97
499,Produto 499,674.91,13
500,Produto 500,742.93,82
501,Produto 501,641.66,62
502,Produto 502,464.69,88
503,Produto 503,766.18,60
504,Produto 504,239.2,14
505,Produto 505,557.28,58
506,Produto 506,675.75,74
507,Produto 507,875.17,1
508,Produto 508,6.09,23
509,Produto 509,764.12,25
510,Produto 510,773.47,69
511,Produto 511,474.62,35
512,Produto 512,602.5,12
513,Produto 513,669.09,96
514,Produto 514,725.62,88
515,Produto 515,759.57,66
516,Produto 516,920.59,85
517,Produto 517,597.26,88
518,Produto 518,510.21,69
519,Produto 519,595.08,24
520,Produto 520,493.48,64
521,Produto 521,186.96,24
522,Produto 522,485.37,56
523,Produto 523,408.35,26
524,Produto 524,429.8,80
525,Produto 525,58.21,57
526,Produto 526,157.63,39
527,Produto 527,18.09,6
528,Produto 528,762.85,62
529,Produto 529,112.73,72
530,Produto 530,23.24,71
531,Produto 531,219.3,44
532,Produto 532,941.46,63
533,Produto 533,445.24,18
534,Produto 534,146.54,66
535,Produto 535,752.68,20
536,Produto 536,824.85,60
537,Produto 537,509.49,79
538,Produto 538,222.42,71
539,Produto 539,621.27,55
540,Produto 540,126.59,37
541,Produto 541,132.52,20
542,Produto 542,956.34,62
543,Produto 543,386.45,18
544,Produto 544,913.87,81
545,Produto 545,864.51,63
546,Produto 546,281.42,2
547,Produto 547,461.3,26
548,Produto 548,473.88,89
549,Produto 549,972.05,11
550,Produto 550,86.05,22
551,Produto 551,159.17,83
552,Produto 552,404.04,63
553,Produto 553,196.17,75
554,Produto 554,30.43,48
555,Produto 555,365.55,85
556,Produto 556,69.15,30
557,Produto 557,279.59,24
558,Produto 558,645.25,71
559,Produto 559,615.92,14
560,Produto 560,550.98,42
561,Produto 561,240.92,1
562,Produto 562,635.89,17
563,Produto 563,92.6,54
564,Produto 564,235.19,29
565,Produto 565,19.06,90
566,Produto 566,912.79,41
567,Produto 567,789.18,20
568,Produto 568,32.81,70
569,Produto 569,25.87,23
570,Produto 570,983.77,64
571,Produto 571,153.66,30
572,Produto 572,457.18,37
573,Produto 573,552.06,28
574,Produto 574,824.41,9
575,Produto 575,368.35,90
576,Produto 576,357.84,86
577,Produto 577,763.33,39
578,Produto 578,374.89,82
579,Produto 579,78.42,82
580,Produto 580,578.58,56
581,Produto 581,168.46,15
582,Produto 582,922.8,10
583,Produto 583,221.36,29
584,Produto 584,380.64,68
585,Produto 585,451.58,18
586,Produto 586,324.71,32
587,Produto 587,733.86,7
588,Produto 588,247.39,51
589,Produto 589,112.99,94
590,Produto 590,608.91,51
591,Produto 591,8.0,96
592,Produto 592,800.43,34
593,Produto 593,456.18,92
594,Produto 594,18.33,34
595,Produto 595,868.05,72
596,Produto 596,191.46,48
597,Produto 597,469.21,49
598,Produto 598,581.12,93
599,Produto 599,499.15,68
600,Produto 600,967.53,11
601,Produto 601,746.93,77
602,Produto 602,835.46,96
603,Produto 603,992.98,55
604,Produto 604,696.62,9
605,Produto 605,830.13,37
606,Produto 606,50.45,83
607,Produto 607,805.37,21
608,Produto 608,93.6,60
609,Produto 609,297.65,2
610,Produto 610,504.76,2
611,Produto 611,703.12,9
612,Produto 612,990.81,66
613,Produto 613,874.61,73
614,Produto 614,55.22,57
615,Produto 615,345.44,20
616,Produto 616,694.16,72
617,Produto 617,612.39,14
618,Produto 618,792.79,9
619,Produto 619,281.02,22
620,Produto 620,13.81,21
621,Produto 621,326.67,62
622,Produto 622,395.92,68
623,Produto 623,314.07,68
624,Produto 624,451.87,29
625,Produto 625,26.49,12
626,Produto 626,870.46,70
627,Produto 627,387.03,53
628,Produto 628,201.58,76
629,Produto 629,912.67,65
630,Produto 630,377.65,30
631,Produto 631,390.92,73
632,Produto 632,759.28,5
633,Produto 633,696.28,36
634,Produto 634,176.08,97
635,Produto 635,982.32,94
636,Produto 636,604.92,88
637,Produto 637,86.62,94
638,Produto 638,149.06,42
639,Produto 639,73.3,5
640,Produto 640,275.65,55
641,Produto 641,1.4,98
642,Produto 642,169.89,74
643,Produto 643,165.76,52
644,Produto 644,24.47,35
645,Produto 645,124.46,29
646,Produto 646,159.14,52
647,Produto 647,125.74,39
648,Produto 648,426.88,43
649,Produto 649,419.56,36
650,Produto 650,819.63,57
651,Produto 651,370.21,37
652,Produto 652,812.03,29
653,Produto 653,849.3,90
654,Produto 654,138.89,84
655,Produto 655,72.05,56
656,Produto 656,404.41,71
657,Produto 657,944.75,57
658,Produto 658,753.26,54
659,Produto 659,170.77,6
660,Produto 660,958.86,47
661,Produto 661,893.44,79
662,Produto 662,552.8,30
663,Produto 663,24.18,4
664,Produto 664,377.56,70
665,Produto 665,274.84,19
666,Produto 666,242.41,51
667,Produto 667,233.41,78
668,Produto 668,321.12,77
669,Produto 669,135.16,51
670,Produto 670,179.9,22
671,Produto 671,999.46,9
672,Produto 672,167.41,54
673,Produto 673,708.31,44
674,Produto 674,734.92,10
675,Produto 675,840.99,29
676,Produto 676,265.7,30
677,Produto 677,641.94,31
678,Produto 678,700.22,18
679,Produto 679,263.16,15
680,Produto 680,413.45,52
681,Produto 681,260.04,7
682,Produto 682,985.79,54
683,Produto 683,302.57,17
684,Produto 684,805.12,96
685,Produto 685,768.69,23
686,Produto 686,213.06,22
687,Produto 687,947.83,28
688,Produto 688,52.89,93
689,Produto 689,946.3,1
690,Produto 690,704.64,38
691,Produto 691,746.2,57
692,Produto 692,21.68,62
693,Produto 693,99.02,76
694,Produto 694,253.7,55
695,Produto 695,753.82,61
696,Produto 696,353.41,47
697,Produto 697,84.97,47
698,Produto 698,973.06,53
699,Produto 699,587.58,39
700,Produto 700,826.56,34
701,Produto 701,591.71,27
702,Produto 702,797.66,47
703,Produto 703,704.01,35
704,Produto 704,378.47,8
705,Produto 705,23.45,66
706,Produto 706,347.29,9
707,Produto 707,703.87,50
708,Produto 708,668.65,17
709,Produto 709,184.52,57
710,Produto 710,539.25,18
711,Produto 711,302.12,6
712,Produto 712,753.59,95
713,Produto 713,562.29,52
714,Produto 714,578.06,54
715,Produto 715,851.7,99
716,Produto 716,830.25,55
717,Produto 717,956.87,65
718,Produto 718,947.94,59
719,Produto 719,818.62,25
720,Produto 720,297.04,48
721,Produto 721,796.56,36
722,Produto 722,320.13,7
723,Produto 723,674.99,98
724,Produto 724,299.32,66
725,Produto 725,559.37,99
726,Produto 726,609.14,77
727,Produto 727,349.43,22
728,Produto 728,462.38,35
729,Produto 729,590.61,90
730,Produto 730,695.07,43
731,Produto 731,226.38,37
732,Produto 732,593.63,79
733,Produto 733,52.77,73
734,Produto 734,386.75,63
735,Produto 735,431.39,82
736,Produto 736,145.0,48
737,Produto 737,563.11,8
738,Produto 738,356.5,94
739,Produto 739,999.52,72
740,Produto 740,80.99,95
741,Produto 741,370.16,91
742,Produto 742,930.81,68
743,Produto 743,411.0,89
744,Produto 744,274.24,2
745,Produto 745,437.43,5
746,Produto 746,72.88,100
747,Produto 747,10.04,70
748,Produto 748,749.8,5
749,Produto 749,956.55,91
750,Produto 750,612.0,69
751,Produto 751,297.61,28
752,Produto 752,823.95,65
753,Produto 753,921.43,14
754,Produto 754,170.48,13
755,Produto 755,615.97,85
756,Produto 756,132.8,40
757,Produto 757,775.94,97
758,Produto 758,569.35,30
759,Produto 759,889.29,11
760,Produto 760,194.89,22
761,Produto 761,951.27,100
762,Produto 762,352.13,74
763,Produto 763,486.28,96
764,Produto 764,584.35,74
765,Produto 765,683.9,53
766,Produto 766,499.85,57
767,Produto 767,599.71,95
768,Produto 768,116.64,75
769,Produto 769,889.37,59
770,Produto 770,366.58,84
771,Produto 771,525.29,13
772,Produto 772,844.37,41
773,Produto 773,798.76,19
774,Produto 774,256.91,29
775,Produto 775,454.85,52
776,Produto 776,733.64,98
777,Produto 777,853.31,68
778,Produto 778,186.35,6
779,Produto 779,462.14,75
780,Produto 780,525.03,20
781,Produto 781,625.68,75
782,Produto 782,734.67,15
783,Produto 783,584.03,4
784,Produto 784,446.73,88
785,Produto 785,977.52,68
786,Produto 786,2.5,79
787,Produto 787,585.33,45
788,Produto 788,480.63,46
789,Produto 789,537.96,86
790,Produto 790,976.5,50
791,Produto 791,732.45,89
792,Produto 792,836.84,77
793,Produto 793,109.59,58
794,Produto 794,387.35,64
795,Produto 795,909.92,85
796,Produto 796,535.46,10
797,Produto 797,975.62,15
798,Produto 798,598.86,92
799,Produto 799,314.58,31
800,Produto 800,768.96,13
801,Produto 801,182.99,26
802,Produto 802,10.42,77
803,Produto 803,921.4,84
804,Produto 804,38.75,88
805,Produto 805,471.55,13
806,Produto 806,509.18,52
807,Produto 807,493.39,84
808,Produto 808,880.15,69
809,Produto 809,488.4,23
810,Produto 810,357.1,48
811,Produto 811,941.93,60
812,Produto 812,15.73,15
813,Produto 813,944.0,67
814,Produto 814,667.19,21
815,Produto 815,655.51,54
816,Produto 816,837.34,82
817,Produto 817,725.25,9
818,Produto 818,882.63,34
819,Produto 819,353.92,38
820,Produto 820,475.11,58
821,Produto 821,870.51,11
822,Produto 822,295.05,91
823,Produto 823,586.5,64
824,Produto 824,742.79,27
825,Produto 825,675.82,73
826,Produto 826,648.13,40
827,Produto 827,810.1,9
828,Produto 828,185.2,82
829,Produto 829,639.94,41
830,Produto 830,962.56,85
831,Produto 831,242.87,10
832,Produto 832,78.51,56
833,Produto 833,248.02,41
834,Produto 834,526.33,46
835,Produto 835,273.22,39
836,Produto 836,817.91,20
837,Produto 837,801.98,63
838,Produto 838,286.1,3
839,Produto 839,212.39,39
840,Produto 840,977.38,37
841,Produto 841,385.05,23
842,Produto 842,737.83,45
843,Produto 843,660.24,49
844,Produto 844,657.57,97
845,Produto 845,604.37,96
846,Produto 846,104.51,80
847,Produto 847,532.39,61
848,Produto 848,29.69,46
849,Produto 849,725.71,83
850,Produto 850,609.68,92
851,Produto 851,10.97,34
852,Produto 852,554.21,15
853,Produto 853,149.47,40
854,Produto 854,323.22,69
855,Produto 855,774.6,35
856,Produto 856,539.11,86
857,Produto 857,71.69,10
858,Produto 858,827.0,22
859,Produto 859,350.94,38
860,Produto 860,982.89,37
861,Produto 861,240.5,49
862,Produto 862,810.63,46
863,Produto 863,372.39,29
864,Produto 864,729.56,87
865,Produto 865,848.87,61
866,Produto 866,227.72,67
867,Produto 867,693.62,78
868,Produto 868,556.94,68
869,Produto 869,605.01,61
870,Produto 870,405.17,96
871,Produto 871,106.97,18
872,Produto 872,735.65,86
873,Produto 873,147.77,92
874,Produto 874,510.3,78
875,Produto 875,591.2,65
876,Produto 876,63.93,25
877,Produto 877,977.39,56
878,Produto 878,776.95,98
879,Produto 879,756.93,6
880,Produto 880,559.54,56
881,Produto 881,684.59,27
882,Produto 882,340.08,18
883,Produto 883,794.26,89
884,Produto 884,870.22,3
885,Produto 885,799.49,76
886,Produto 886,213.25,56
887,Produto 887,716.53,12
888,Produto 888,431.96,16
889,Produto 889,78.51,1
890,Produto 890,897.98,78
891,Produto 891,969.71,36
892,Produto 892,232.23,69
893,Produto 893,791.38,11
894,Produto 894,550.13,71
895,Produto 895,486.92,22
896,Produto 896,829.61,62
897,Produto 897,4.7,74
898,Produto 898,658.03,50
899,Produto 899,834.42,79
900,Produto 900,361.51,75
901,Produto 901,487.89,32
902,Produto 902,472.61,25
903,Produto 903,747.4,37
904,Produto 904,910.59,94
905,Produto 905,962.69,19
906,Produto 906,626.05,52
907,Produto 907,610.38,68
908,Produto 908,174.63,81
909,Produto 909,776.24,41
910,Produto 910,769.42,7
911,Produto 911,273.46,89
912,Produto 912,802.13,64
913,Produto 913,446.78,52
914,Produto 914,102.53,73
915,Produto 915,388.73,25
916,Produto 916,781.19,73
917,Produto 917,225.79,81
918,Produto 918,862.11,75
919,Produto 919,838.75,100
920,Produto 920,42.82,84
921,Produto 921,810.71,13
922,Produto 922,263.58,11
923,Produto 923,172.04,61
924,Produto 924,708.79,46
925,Produto 925,280.7,5
926,Produto 926,753.15,21
927,Produto 927,138.41,66
928,Produto 928,707.35,54
929,Produto 929,58.84,28
930,Produto 930,685.57,16
931,Produto 931,505.99,90
932,Produto 932,796.04,65
933,Produto 933,405.9,36
934,Produto 934,551.61,22
935,Produto 935,464.57,83
936,Produto 936,454.72,43
937,Produto 937,482.05,71
938,Produto 938,802.51,51
939,Produto 939,945.67,29
940,Produto 940,575.19,27
941,Produto 941,838.74,80
942,Produto 942,399.58,24
943,Produto 943,937.16,26
944,Produto 944,34.94,18
945,Produto 945,781.38,82
946,Produto 946,389.82,56
947,Produto 947,508.27,85
948,Produto 948,706.34,71
949,Produto 949,42.83,88
950,Produto 950,610.55,52
951,Produto 951,882.63,30
952,Produto 952,393.93,87
953,Produto 953,787.68,67
954,Produto 954,752.26,81
955,Produto 955,983.35,83
956,Produto 956,622.57,85
957,Produto 957,101.43,62
958,Produto 958,187.62,25
959,Produto 959,809.27,46
960,Produto 960,195.85,42
961,Produto 961,882.2,74
962,Produto 962,787.38,42
963,Produto 963,816.57,41
964,Produto 964,658.22,70
965,Produto 965,730.65,27
966,Produto 966,137.75,83
967,Produto 967,419.94,66
968,Produto 968,417.0,77
969,Produto 969,564.22,43
970,Produto 970,624.62,65
971,Produto 971,895.61,78
972,Produto 972,573.01,76
973,Produto 973,206.84,10
974,Produto 974,349.24,4
975,Produto 975,307.15,18
976,Produto 976,419.76,57
977,Produto 977,486.46,37
978,Produto 978,286.54,34
979,Produto 979,328.19,69
980,Produto 980,648.41,15
981,Produto 981,631.56,84
982,Produto 982,328.22,72
983,Produto 983,164.63,68
984,Produto 984,791.54,33
985,Produto 985,465.58,80
986,Produto 986,585.32,13
987,Produto 987,131.98,9
988,Produto 988,397.51,25
989,Produto 989,894.16,29
990,Produto 990,608.67,31
991,Produto 991,103.26,97
992,Produto 992,353.67,80
993,Produto 993,813.81,26
994,Produto 994,521.53,34
995,Produto 995,946.47,91
996,Produto 996,465.71,77
